1.5545	Most refugees were women, children, elderly, or disabled.	大多数难民是妇女、儿童、老人或残疾人。
1.4554	However, the letter was removed from the Internet by Chinese censors after three hours.	这封信在发布三个小时后被从互联网上删除。
1.4379	China has a lot more to lose than Russia.	中国拥有比俄罗斯损失更多。
1.4372	Prabowo's proposal was criticised by EU foreign policy chief Josep Borrell.	苏比安托提出的方案遭到欧盟外交和安全政策高级代表何塞普·博雷利批评。
1.4311	That's why this sort of mediation currently doesnot fit for us at all because they arenot impartial."	这就是这种调解的原因目前根本不适合我们，因为它们不公正。”
1.4306	The United States Department of State and the European External Action Service of the European Union (EU) published guides aiming to respond to Russian disinformation.	美国国务院和欧洲联盟的欧盟对外行动署发布了旨在应对俄罗斯政府传播的虚假信息的指南。
1.4290	The video's metadata showed that it was created on 8 February 2022, and included a mix of different pieces of audio or video, including a 2010 YouTube video from a military firing range in Finland.	这一视频的元数据显示，其录制于2022年2月8日，并且由众多录音与视频剪辑而成，其中甚至包括2010年YouTube上芬兰军事演习的视频。
1.4208	Chinese media reported that Wang told Kuleba that he was "extremely concerned" about the risk to civilians and that it was necessary to "ease the situation as much as possible to prevent the conflict from escalating."	媒体报道称，王毅告诉库勒巴，他对平民面临的风险“极为担忧”，有必要“尽可能缓和局势，防止冲突升级”。
1.4148	The participants did agree to create working groups to develop details of key themes prominent in Zelenskyy's proposed peace plan (that calls for Russian troops to withdraw from all of Ukraine’s territory as part of a peace deal) while a parallel ambassadors group would continue technical work on the issues.	与会者同意成立工作组商讨泽连斯基和平方案关键要点的细节，即要求俄军从乌克兰全面撤军，同时设立平行的大使小组，继续就该问题开展技术工作。
1.3992	Zeno Leoni of King's College London argued that "should China lead parties involved to a new peace, it would be a major diplomatic and public relations victory for Beijing," as the Chinese government "would be able to present itself as a responsible great power and to convince the west that in future they might have to rely on Beijing's global influence at a time when US influence is declining."	伦敦国王学院的芝诺·莱尼 (Zeno Leoni) 认为，“如果中国领导有关各方达成新的和平，这将是北京在外交和公共关系方面的重大胜利”，因为中国政府“将能够将自己展示为一个负责任的大国，并说服西方，在美国影响力下降之际，他们可能不得不依赖北京的全球影响力。”
1.3935	The talks lasted a few hours and ended without a breakthrough.	会谈持续了几个小时，并且在没有取得突破情况下暂停会谈。
1.3857	Global Times claimed that the Bucha massacre was a publicity stunt, in which the U.S. was involved.	环球网指出，“布查屠杀”是外界的“炒作”，美国也参与了事件炒作。
1.3821	Ryan Hass of the Brookings Institution has argued that "without Russia, the thinking goes, China would be alone to deal with a hostile west determined to obstruct China's rise," but that the two countries "do not have perfectly aligned interests.	布鲁金斯学会的瑞恩·哈斯（Ryan Hass）认为，“没有俄罗斯，中国将独自应对决心阻挠中国崛起的敌对西方”，但两国“没有完全一致的利益。
1.3768	A dispute emerged over the role of Russia: Normandy Format members France, Germany, and Ukraine saw Minsk as an agreement between Russia and Ukraine, but Russia insisted Ukraine should negotiate directly with the two separatist republics.	俄罗斯在该协议中的角色出现争议：诺曼底模式成员法国、德国和乌克兰认为《明斯克协议》是俄罗斯和乌克兰之间的协议，而俄罗斯坚持认为乌克兰应该直接与两个分裂出来的共和国谈判。
1.3737	At the moment, Ukraine is satisfied with this policy."	目前，乌克兰对这一政策感到满意。
1.3680	In the years after the dissolution of the USSR, several former Eastern Bloc countries joined NATO, partly in response to regional security threats involving Russia such as the 1993 Russian constitutional crisis, the War in Abkhazia (1992–1993) and the First Chechen War (1994–1996).	苏联解体后，几个前东方集团国家加入北大西洋公约组织（北约/NATO），部分原因是区域安全威胁，如1993年俄罗斯宪政危机、阿布哈兹战争（1992年-1993年）和第一次车臣战争（1994年-1996年）。
1.3608	After two hours of talks, no agreement was reached.	经过两个小时的会谈，俄乌双方没有达成任何协议。
1.3577	He stated that Ukraine would only invite Russia if the country faced an international court for war crimes.	他表示只有俄罗斯被国际法庭以战争罪起诉，乌克兰才会考虑邀请。
1.3575	By 29 December, following the Russian declared annexation of multiple Ukrainian oblasts, hopes for Ukrainian peace talks with Russia dimmed significantly with Russia taking a hardline position that the full Russian occupation of the four oblasts would be non-negotiable under any circumstances.	到12月29日，在俄罗斯吞并多个乌克兰州之后，乌克兰与俄罗斯进行和平谈判的希望大大黯淡，因为俄罗斯采取强硬立场，即俄罗斯对四个州的全面占领在任何情况下都没有谈判的余地。
1.3495	NATO ultimately refused to offer Ukraine and Georgia MAPs, but also issued a statement agreeing that "these countries will become members of NATO" at some point.	北约最终拒绝为乌克兰和格鲁吉亚提供成员资格，但发表声明同意“这些国家将成为北约成员”。
1.3452	Second, any peace plan should not lead to the freezing of the conflict."	其次，任何和平计划都不能仅是暂时冻结冲突。
1.3449	On 20 May, NPR reported that, following a significant influx of foreign military equipment into Ukraine, a significant number of refugees are seeking to return to regions of Ukraine which are relatively isolated from the invasion front in south-eastern Ukraine.	2022年5月20日，NPR报导说，随着外国军事装备大量涌入乌克兰，大量难民正在寻求返回乌克兰东南部与入侵前线相对孤立的地区。
1.3438	Mykhaylo Podolyak, a negotiator for Ukraine, said that the comments from Lavrov are a tactic to draw attention away from the war crime accusations against Russian forces.	乌克兰谈判代表米哈伊洛·波多利亚克表示，拉夫罗夫的言论是在故意转移话题，试图转移外界对俄罗斯军队的战争罪指控上的注意力。
1.3380	A Gallup poll conducted in Ukraine in early September 2022 showed that 70% of Ukrainians want to continue the war with Russia until they achieve victory, while only 26% favor negotiations to end the war as soon as possible.	根据2022年9月初盖洛普在乌克兰进行的民意调查，70%的乌克兰人希望乌克兰继续战斗直至取得胜利，26%赞成以谈判尽快结束战争。
1.3335	Both sides agreed to open humanitarian corridors for evacuating civilians.	双方就临时停火建立“人道主义通道”达成一致。
1.3219	As Russia built up military forces along the Ukrainian border, many neighbouring governments and aid organisations prepared for a mass displacement event in the weeks before the invasion.	随着俄罗斯在乌克兰边境集结军队，许多邻国政府和援助组织为入侵前几周的大规模流离失所事件做好了准备。
1.3218	Chinese media selectively reported on Ukrainian president Vlodomir Zelensky’s survey of the scene of the massacre, but did not report on the horrific nature of the scene and the pleas from local residents.	有中国大陆媒体选择性报道了乌克兰总统弗拉基米尔·泽连斯基视察布恰大屠杀现场，现场的惨状和现场居民的哭诉均没有报道。
1.3145	Fall of Mariupol	马里乌波尔的女孩壁画
1.3138	Many professors and alumni of institutions, including Peking University and Tsinghua University, also publicly expressed anti-war statements, but these statements have been harshly criticized by netizens, and are censored or deleted on mainland Chinese social media platforms.	例如公众人物金星、袁立，以及多名来自北大、清华等高校的教授和校友都曾公开表示反战，但这类言论都遭到网民强烈批评，并被中国大陆社交平台屏蔽或删除。
1.3095	Allegations of "genocide" in Donbas	对顿巴斯地区种族灭绝行为指控
1.3087	He called on Putin to withdraw Russian troops from Crimea and stated that Ukraine will "preserve its territory" and "defend its independence".	他呼吁普京将俄罗斯军队撤出克里米亚，表示乌克兰将“维护其领土”和“捍卫其独立”。
1.3082	Érick Duchesne of the Université Laval has argued that "strategic ambiguity on the part of China could have a beneficial effect and help untie the Gordian knot of the crisis" and that it would be a "a serious mistake" for NATO countries to oppose Chinese mediation.	拉瓦尔大学的埃里克·杜尚认为，“中国的战略模糊性可能会产生有益的影响，有助于解开危机的快死结”，而北约国家反对中国调解将是一个“严重错误”。
1.3064	It was reported that Lukashenko assured Zelenskyy that all planes, helicopters, and missiles on Belarusian territory would remain on the ground during the negotiations.	卢卡申科承诺，驻扎在白俄罗斯领土上的所有飞机、直升机和导弹将在乌克兰代表团的履行、谈判和返回期间留在地面上 。
1.2999	Turkish President Erdogan expressed some hope for a diplomatic resolution, saying that Putin "is now more open to possible peace talks" and that Kyiv "was not rejecting such peace talks."	土耳其总统埃尔多安认为有望循外交途径解决，称普京“现在对可能出现的和谈更加开放”，基辅“没有拒绝和谈”。
1.2989	Fake RAND report ===	被指造假的“兰德公司计划”
1.2986	On 21 September, Zelenskyy addressed the UN General Assembly with a pre-recorded video, laying out five "non-negotiable" conditions for a "peace formula", comprising "just punishment" of Russia for its crimes committed against Ukraine, protection of life by "all available means allowed by the UN charter", restoring security and territorial integrity, security guarantees from other countries, and determination for Ukraine to continue defending itself.	9月21日，泽连斯基以视频方式出席联合国大会，当中明确五个“不容谈判”的条件，包括对俄罗斯在乌克兰的犯下的罪行进行“公正惩罚”、利用符合联合国宪章的可行手段保护生命、恢复安全及领土完整、其他国家的安全保障，以及乌克兰继续捍卫自身的决心。
1.2972	On 5 and 6 August 2023 Saudi Arabia hosted multinational peace talks attended by 40 countries (including China) in Jeddah focusing on Ukrainian President Volodymyr Zelenskyy's proposed peace plan.	8月5日至6日，沙特阿拉伯与包括中国在内的40个国家在吉达举行多国会谈，商讨泽连斯基提出的和平方案，俄罗斯未出席会谈。
1.2967	Radio France Internationale believes that while China has not condemned Russia's invasion, it does not encourage its citizens to support Ukrainians, and has not openly supported Russia.	法国国际广播电台认为，中国虽然不谴责俄罗斯入侵、未曾鼓励中国人声援乌克兰人，但也没有公开支持俄罗斯。
1.2966	The ceasefires of the Minsk agreements, signed in September 2014 and February 2015 in a bid to stop the fighting, repeatedly failed.	2014年9月和2015年2月，交战双方签署旨在停止战斗的《明斯克协议》，但停火屡次失败。
1.2961	Zaporizhzhia Nuclear Power Plant crisis	扎波罗热核电站袭击事件
1.2943	The fourth round of negotiations began on 14 March via video conference.	第四轮谈判于3月14日通过视频会议开始。
1.2900	Zelenskyy called for direct talks with Putin to end the war.	乌克兰总统泽连斯基呼吁与俄罗斯总统普京直接对话并结束战争。
1.2896	Furthermore, misogynistic comments have also been made by Chinese netizens, with "taking in beautiful Ukrainian women" becoming a meme.	此外，中国大陆舆论场中也存在低俗言论，例如不少网民用“收留乌克兰美女”调侃战争，一度演变成网络梗（哏）。
1.2862	The American White House told the press after the call that Biden had warned Xi of "consequences if China provides material support to Russia."	美国白宫在电话会议后对媒体表示，拜登曾警告习近平“如果中国向俄罗斯提供物质支持，将有严重后果”。
1.2858	The invasion was the biggest attack on a European country since World War II.	此次入侵是继第二次世界大战以来欧洲最大规模的战争之一。
1.2836	In response, Chinese state-run media outlet The Paper urged the public to comment on the war rationally, and not to become "vulgar bystanders".On 26 February 2022, five Chinese historians signed an open letter opposing the invasion, stating that "great catastrophes in history often started with local conflicts."	2月26日，五位中国大陆历史学家联署公开信反对入侵，称“历史上的重大灾难往往始于局部冲突”。
1.2815	The Ghost of Kyiv	“基辅出现象征着末日的乌鸦群”
1.2751	However, by 3 May, another 8 million people were displaced inside Ukraine.	到5月3日，乌克兰境内又有800万人流离失所。
1.2735	Zelenskyy declared martial law and a general mobilisation of all male Ukrainian citizens between 18 and 60, who were banned from leaving the country.	乌克兰总统弗拉基米尔·泽连斯基随即颁布戒严和动员令，禁止18至60岁男性离境。
1.2735	On the day Russia launched its military operation against Ukraine, the Communist Youth League of China posted a rendition of the Soviet patriotic song “Katyusha” in Mandarin on its official bilibili account.	俄罗斯对乌克兰采取军事行动当天，共青团中央在影音平台bilibili官方帐号发布视频，内容为二战前夕流传于苏联的爱国歌曲《喀秋莎》中文普通话版，此举被《端传媒》解读为“娱乐化”战争。
1.2732	However, The Wall Street Journal believes that Chinese state-run media outlets were exercising restraint in their coverage of the conflict, an indication of the cautious stance taken by the Chinese government.	《华尔街日报》认为，中国大陆官媒在对俄乌冲突报道时保持克制，这表明政府在立场上比较谨慎。
1.2721	In 1999, Russia was one of the signatories of the Charter for European Security, which "reaffirmed the inherent right of each and every participating State to be free to choose or change its security arrangements, including treaties of alliance, as they evolve."	1999年，俄罗斯签署《欧洲安全宪章》，其中“重申每个参与国具有自由选择或更改其安全安排，包括联盟条约的固有权利”。
1.2691	Later on the same day, the Russian Ministry of Defence stated that the Moskva had sunk while under tow in rough weather.	最终于次日，俄罗斯宣布莫斯科号导弹巡洋舰因“风暴”沉没。
1.2676	On 18 February 2022, the Luhansk People's Republic showed a video appearing to show the removal of a car full of explosives that had been prepared for blowing up a train full of women and children evacuating to Russia.	2022年2月18日，卢甘斯克人民共和国发布了对一辆计划载妇女、儿童撤往俄罗斯、却装满了炸药的火车实施拆弹的视频。
1.2663	On 3 June, Indonesia's defense minister Prabowo Subianto proposed a multi-point peace plan including a ceasefire and establishing a demilitarised zone observed and monitored by the United Nations Peacekeeping Forces.	在新加坡的香格里拉对话安全峰会上，印尼国防部长普拉博沃·苏比安托提出多点和平建议，包括暂时停火、建立由联合国维和部队观察和监测的非军事区。
1.2643	Peace negotiations between Russia and Ukraine took place on 28 February, 3 March, and 7 March 2022, in the Gomel Region on the Belarus–Ukraine border, with further talks held on 10 March in Turkey and a fourth round of negotiations beginning 14 March.	俄罗斯和乌克兰于2月28日、3月3日、 和2022年3月7日，在白俄罗斯—乌克兰边境戈梅利地区的一个秘密地点， 并进行了进一步和平会谈， 在3月14日开始的第四轮谈判之前于3月10日在 土耳其举行。
1.2636	Prior  to the summit Andriy Yermak, Zelenskyy’s chief of staff, said there would be discussions on the Ukrainian Peace Formula, which "contains 10 fundamental points, the implementation of which will not only ensure peace for Ukraine, but also create mechanisms to counter future conflicts in the world".	会议前夕，泽连斯基的幕僚长安德烈·叶尔马克表示会讨论乌克兰提出十点和平方案。
1.2609	Both Russia and Ukraine welcomed the African leaders' mission, but Ukrainian Foreign Minister Dmytro Kuleba warned that "Any peace initiative should respect the territorial integrity of Ukraine, it should not imply, even in-between the lines, any cessation of Ukrainian territory to Russia.	俄乌两国均对非洲代表团表示欢迎，但乌克兰外交部长库列巴发出警告，称任何和平倡议都应该尊重乌克兰的领土完整，必须在字里行间体现出乌克兰领土不再归俄罗斯所有，不能敷衍了事。
1.2604	In May 2023, UN Secretary-General António Guterres said peace negotiations to end the Russo-Ukrainian War were "not possible at this moment", saying it was clear that Russia and Ukraine "are completely absorbed in this war" and "are convinced that they can win."	2023 年 5 月，联合国秘书长安东尼奥·古特雷斯表示，结束俄罗斯-乌克兰战争的和平谈判“目前不可能”，并表示俄罗斯和乌克兰显然“完全陷入了这场战争”，并且彼此确信能取得胜利。
1.2568	Russia, the UK and the US agreed in the Budapest Memorandum to uphold Ukraine's territorial integrity.	作为回报，俄罗斯、英国和美国签署《布达佩斯安全保障备忘录》同意维护乌克兰的领土完整。
1.2566	After the Bucha massacre, Chinese state media began to show favor for the Russian point of view.	布恰大屠杀发生后，有观点认为中国大陆官方媒体报道时较为偏袒俄罗斯。
1.2559	On 25 May, Zelenskyy said that Ukraine would not agree to peace until Russia agreed to return Crimea and the Donbas region to Ukraine.	5月25日，泽连斯基表示，在俄罗斯同意将克里米亚和顿巴斯地区归还乌克兰之前，乌克兰不会同意和平谈判。
1.2545	BBC and CNN believe that discussions of the topic in mainland China are led by Chinese state media outlets, including Global Times, China Central Television (CCTV), and People’s Daily.	英国广播公司、美国有线电视新闻网认为，在中国大陆社群媒体引领话题的大多是官方媒体，包括环球网、央视新闻、环球时报、人民日报等。
1.2544	On 19 July, former Russian President and current Deputy head of the Russian Security Council Dmitry Medvedev, said: "Russia will achieve all its goals.	7月19日，俄罗斯前总统、俄罗斯国家安全会议副主席德米特里·梅德韦杰夫说：
1.2512	In December 2021, the Ukrainian defence minister estimated that an invasion could force three to five million people to flee their homes.	2021年12月，乌克兰国防部部长估计，一次入侵可能会迫使300万到500万人逃离家园。
1.2490	Some mainland netizens also promoted Chinese unification with Taiwan by force in their discussions of the Russian invasion.	更有网民借俄乌战事鼓吹武力统一台湾。
1.2488	On 7 April, Russian Foreign Minister Sergey Lavrov said that the peace deal Ukraine drafted and presented to the Russian government contained "unacceptable" elements.	2022年4月7日，俄罗斯外长谢尔盖·维克托罗维奇·拉夫罗夫表示，乌克兰起草并提交给俄罗斯政府的和平协议中包含“不可接受”的内容。
1.2477	Russia is essentially fighting the tides of decline."Several commentators have foreseen a potential role for China as a key mediator in the conflict.	一些评论员预见到中国在冲突中可能扮演关键调解人的角色。
1.2468	In the following days, all remaining Ukrainian military bases and installations were surrounded and besieged, including the Southern Naval Base.	接下来的几天里，所有剩余的乌克兰军事基地和设施都被俄军围困，大部分军事基地的通讯被干扰或者切断。
1.2415	Fall of Sievierodonetsk and Lysychansk	北顿涅茨克、利西昌斯克失守
1.2387	Reactions to the Russian annexation of Crimea	对俄罗斯兼并克里米亚的反应
1.2383	On the same day, an article on the Global Times website referred to Donetsk and Luhansk as “two nations”.	同日，环球网的一篇报道一度称顿涅茨克和卢甘斯克为“两国”，其后该报道被删除，中国大陆传媒统一称呼两地为“地区”；
1.2360	In February 2023, during a speech at the 59th Munich Security Conference, Chinese foreign policy chief, CCP Politburo member Wang Yi said that CCP general secretary Xi Jinping would present a “peace proposal” to resolve what he described as the "conflict" between Moscow and Kyiv.	2月18日，出席第59届慕尼黑安全会议的中共中央政治局委员兼中央外事办主任王毅发表谈话，称中国最高领导人习近平会为解决莫斯科与基辅之间的“冲突”提供“和平建议”。
1.2343	After the dissolution of the Soviet Union (USSR) in 1991, Ukraine and Russia maintained close ties.	苏联（苏维埃社会主义共和国联盟）于1991年解体后，新独立的乌克兰和俄罗斯保持联系。
1.2338	After a meeting with African leaders in Kyiv, Ukrainian President Volodymyr Zelenskiy said that peace talks with Russia would be possible only after Moscow withdraws its forces from the entire occupied territory.	在基辅会见各国首脑后，乌克兰总统泽连斯基发表谈话，表示与俄罗斯的和谈只有在莫斯科完全从占领领土撤军后才能进行。
1.2329	On 2 March, Russian troops took Kherson; this was the first major city to fall to Russian forces.	3月2日俄军攻占乌克兰南部重要战略城市赫尔松，该市成为开战以来俄军攻占的首个主要城市。
1.2326	Speaking to Bild, Zelenskyy stated that he saw little chance of holding talks with Putin unless Russia withdrew its forces from Ukrainian territory.	在接受《图片报》采访的时候，泽连斯基表示当面普京会谈的机会微乎其微，除非俄罗斯从乌克兰撤军。
1.2288	In a December 2022 interview with the Associated Press, Ukrainian Foreign Minister Dmytro Kuleba called for a February 2023 peace summit at the UN mediated by secretary-general António Guterres.	乌克兰外交部长库列巴在接受美联社专访时提出于次年2月举行和平峰会，由联合国秘书长安东尼奥·古特雷斯负责调停。
1.2278	On 2 March 2022, The New York Times published an article citing a Western intelligence report which said that the Chinese government had asked the Russian government to delay the invasion until after the 2022 Winter Olympics.	3月2日，《纽约时报》发表文章称，中国政府已对入侵提前发出警告，并要求俄罗斯政府将其推迟到2022年北京冬奥会之后。
1.2260	On 17 June, South African President Cyril Ramaphosa and other African leaders met Russian President Vladimir Putin in St. Petersburg.	6月17日，俄罗斯总统普京在圣彼得堡与非洲代表团会谈。
1.2258	On 20 February 2014, Russia began an annexation of Crimea.	2014年2月20日，俄罗斯决定兼并克里米亚。
1.2239	Support for Hamas	宣称自己击毁了美国援乌的“海马斯”火箭炮
1.2228	Reactions to the Russian invasion of Ukraine	对俄罗斯入侵乌克兰的反应
1.2226	"Grandmother with red flag"	“我的祖辈因这面旗子而死！”
1.2217	The war has resulted in a refugee crisis and tens of thousands of deaths.	战争导致了难民危机和数万人死亡，国际纷纷谴责和制裁俄罗斯。
1.2210	Director of the CIA William Burns told the U.S. Senate that Russia was using such claims to prepare the terrain for a biological or chemical attack by Russian forces against Ukraine, which they would then blame on the United States and Ukraine.	中央情报局局长威廉·约瑟夫·伯恩斯在向美国参议院情报委员会的听证会上，表示严重担心俄罗斯可能正为使用化学或生物袭击的行动来奠定基础，然后在假旗行动中归咎于美国或乌克兰。
1.2209	Russian Foreign Ministry spokeswoman Maria Zakharova responded saying Russia appreciated Beijing's effort to resolve the conflict by peaceful means but that Russia was "open to achieving the goals of the special military operation by political and diplomatic means" and that it would entail recognising "new territorial realities" in Ukraine, referring to Russia's annexation of Donetsk, Kherson, Luhansk and Zaporizhzhia oblasts.	俄罗斯外交部发言人扎哈罗娃对北京通过和平方式解决冲突的努力表示赞赏，强调俄罗斯“对以政治外交手段实现特别军事行动目标持开放态度”，而这就要承认乌克兰新的领土现实，指的是俄罗斯吞并了此前占领的乌东四地。
1.2176	In September 2022, the Swedish far-right online newspaper Nya Dagbladet published a document it claimed was leaked from the RAND Corporation, a U.S.-based think tank.	2022年9月13日，瑞典媒体《新日报》（Nya Dagbladet）称其获得了一份泄密文件，题为《削弱德国，加强美国》（Weakening Germany, strengthening the US），是兰德公司当年1月份为美国拟定的计划。
1.2124	On 5 April, CCTV-4 relayed the Russian Foreign Minister Sergey Lavrov’s claim that the Bucha massacre is fake news, spread by Ukraine and the West to slander Russia.	4月5日，中国中央电视台中文国际频道引述俄罗斯外交部长谢尔盖·维克托罗维奇·拉夫罗夫的发言，称布恰大屠杀是一起假新闻，乌克兰和西方散步虚假讯息是出于反俄目的。
1.2100	No leaks had been reported at the plant before their arrival, but shelling had occurred days before.	波兰早在入侵开始时就为难民的涌入做准备，尽管在入侵的第一天没有报告大量的难民。
1.2099	Lula proposed the creation of a "peace club" from a group of developing countries, including Brazil and China, which would try to negotiate peace in Ukraine.	巴西总统卢拉建议建立包括中国在内的国际“和平俱乐部”，调解俄乌争端，预计8月在南非金砖国家峰会上，习近平和卢拉将再与普京当面商讨和谈之事。
1.2090	Ramaphosa told Putin that the war must end, but Putin rejected the delegation's peace plan based on accepting Ukraine's internationally recognized borders.	拉马福萨向普京表示战争必须停止，普京则拒绝了代表团提出的和平方案；
1.2086	On 29 July, during a meeting with African leaders at the 2023 Russia–Africa Summit in St. Petersburg, Russian President Vladimir Putin rejected a ceasefire and peace talks with Ukraine due to the ongoing Ukrainian counter-offensive against Russian forces in Russia-occupied southeastern Ukraine, saying "We cannot cease fire when we are under attack."	在圣彼得堡的2023年俄非峰会上，普京向与会非洲各国领导人表示，由于乌克兰对东南部的俄占领土展开反攻，俄罗斯不会与乌克兰方面进行停火及和平谈判。
1.2084	Russian state-owned television channel Russia-1 spread false claims that Zelenskyy fled Ukraine following the 10 October 2022 missile strikes.	10月10日俄罗斯导弹大规模袭击基辅后，俄罗斯媒体Russia-1再次报道泽连斯基逃离基辅。
1.2076	Deutsche Welle and CNN questioned the avoidance of words such as “invasion” and “attack”, and the bias towards information from Russian officials, as well as the promotion of anti-U.S. sentiments within China.	德国之声、美国有限电视新闻网等媒体认为，中国大陆媒体在相关的报道中避免使用“侵略”“攻击”等词汇，并在选材上偏重俄罗斯官方、忽略乌克兰官方，同时煽动反美情绪。
1.2069	Ukrainian Defense Minister Oleksii Reznikov said that the peace plans presented by China, Brazil and Indonesia are attempts at mediation on behalf of Russia, saying that "they all currently want to be mediators on Russia’s side.	乌克兰国防部长阿列克谢·列兹尼科夫认为中国、巴西及印尼提出的和平方案是在尝试代表俄罗斯进行调解，称“现在他们都想成为俄罗斯方面的调解方，这就是这种调解根本不适合我们的原因，因为它们本身就不公正”。
1.2041	War in the Donbas (2014–2015)	2014—2022年：顿巴斯战争
1.2028	This was contradicted by satellite images which showed that the bodies were there as early as 19 March; the position of the corpses in the satellite images match the smartphone photos taken in early April.	英国广播公司指出，Maxar公司3月19日的卫星图像显示的疑似尸体的物体的位置，与4月1日视频中尸体位置相吻合，这与俄罗斯关于俄罗斯撤离后尸体被“摆放”的说法相悖。
1.2021	Ukraine signed the Nuclear Non-Proliferation Treaty in 1994, agreeing, in return for security guarantees, to dismantle the nuclear weapons the USSR had left in Ukraine when it collapsed.	1994年乌克兰同意签署《不扩散核武器条约》并拆除苏联在乌克兰留下的核武器。
1.1997	In a briefing, the Russian Ministry of Defence used photos of the Beloyarsk Nuclear Power Station, the Novosibirsk Chemical Concentrates Plant, the aftermath of the September 11 attacks, and a photo from a 2010 presentation by the Slovenian Radioactive Waste Management Agency as "evidence" for its claims.	所谓核原料照片来自2016年墨西哥的放射性物质失窃新闻，其余图片则分别可以搜到来自别洛雅尔斯克核电站，新西伯利亚科学工业园和PIK研究反应堆。
1.1994	Ukrainian Satanism and black magic ====	宣扬乌克兰军方进行黑魔法仪式
1.1986	The war caused the largest refugee and humanitarian crisis within Europe since the Yugoslav Wars in the 1990s; the UN described it as the fastest-growing such crisis since World War II.	这场战争在欧洲造成了自1990年代南斯拉夫内战以来最大的难民和人道主义危机；
1.1986	One person was killed and several were injured in the attack.	此次袭击导致至少14人丧生，97人受伤。
1.1975	Ukrainian president Volodymyr Zelenskyy and Belarusian president Alexander Lukashenko agreed on 27 February that a Ukrainian delegation would meet with Russian officials on the Belarusian border, near the Pripyat River, without preconditions.	在2022年2月27日中午的谈话中，乌克兰总统弗拉基米尔·泽伦斯基与白俄罗斯总统亚历山大·卢卡申科同意乌克兰代表团将在普里皮亚季河附近的乌克兰-白俄罗斯边境与俄罗斯代表团会面。
1.1951	Many countries imposed new sanctions, which affected the economies of Russia and the world, and provided humanitarian and military aid to Ukraine.	多方向乌克兰提供武器和人道主义支援，对俄罗斯实施空前的制裁，战争与制裁影响世界经济。
1.1951	In the first week of the invasion, the UN reported over a million refugees had fled Ukraine; this subsequently reached over eight million by 31 January 2023.	在入侵的第一周，联合国报告说超过一百万难民逃离乌克兰。
1.1936	On 17 July 2014, Russian-controlled forces shot down a passenger aircraft, Malaysia Airlines Flight 17, as it was flying over eastern Ukraine.	冲突间接导致2014年7月马来西亚航空17号班机被击落。
1.1929	On 1 March 2022, the Ukrainian and Chinese foreign ministers, Dmytro Kuleba and Wang Yi, held their first phone call since the beginning of the invasion.	3月1日，乌克兰外交部长德米特里·库列巴和中国国务委员兼外交部长王毅举行了自入侵开始以来的第一次电话会议。
1.1893	Southeastern front (8 April – 5 September)	第二阶段：俄罗斯乌东攻势（4月8日—9月5日）
1.1866	Russian soldiers with no insignia took strategic positions in the Ukrainian territory of Crimea, and seized the Crimean Parliament.	随后俄罗斯派出没有佩戴标志的士兵控制乌克兰克里米亚的战略位置和基础设施，并占领克里米亚议会。
1.1842	Line of conflict stabilizes (2015–2021)	2015年—2020年：僵持阶段
